,Station,Easting,Northing,Elevation,easting,northing,DTM
541,206+451,2612956.8917,1268110.7263,210.792,2612956.8917,1268110.7263,262.7997
542,206+454,2612958.6018,1268108.2614,210.731,2612958.6018,1268108.2614,262.7655
543,206+454.301,2612958.7738,1268108.0144,210.725,2612958.7738,1268108.0144,262.7655
544,206+457,2612960.3209,1268105.8024,210.671,2612960.3209,1268105.8024,262.896
545,206+460,2612962.0488,1268103.35,210.611,2612962.0488,1268103.35,262.7781
546,206+463,2612963.7855,1268100.9038,210.553,2612963.7855,1268100.9038,262.7781
547,206+466,2612965.531,1268098.4639,210.495,2612965.531,1268098.4639,262.9668
548,206+469,2612967.2853,1268096.0303,210.437,2612967.2853,1268096.0303,262.9668
549,206+472,2612969.0484,1268093.6031,210.381,2612969.0484,1268093.6031,262.8468
550,206+475,2612970.8203,1268091.1822,210.325,2612970.8203,1268091.1822,262.8191
551,206+478,2612972.6009,1268088.7678,210.27,2612972.6009,1268088.7678,262.9604
552,206+481,2612974.3902,1268086.3598,210.216,2612974.3902,1268086.3598,262.9604
553,206+484,2612976.1883,1268083.9584,210.162,2612976.1883,1268083.9584,262.8387
554,206+487,2612977.9949,1268081.5634,210.109,2612977.9949,1268081.5634,262.8387
555,206+490,2612979.8103,1268079.175,210.057,2612979.8103,1268079.175,262.9881
556,206+493,2612981.6342,1268076.7931,210.005,2612981.6342,1268076.7931,262.8918
557,206+496,2612983.4668,1268074.4179,209.954,2612983.4668,1268074.4179,262.8689
558,206+499,2612985.3079,1268072.0493,209.904,2612985.3079,1268072.0493,262.9046
559,206+502,2612987.1576,1268069.6874,209.855,2612987.1576,1268069.6874,262.8564
560,206+505,2612989.0158,1268067.3321,209.806,2612989.0158,1268067.3321,262.8564
561,206+508,2612990.8825,1268064.9836,209.758,2612990.8825,1268064.9836,262.8444
562,206+511,2612992.7577,1268062.6419,209.711,2612992.7577,1268062.6419,262.8444
563,206+514,2612994.6413,1268060.307,209.665,2612994.6413,1268060.307,262.8444
564,206+517,2612996.5333,1268057.9789,209.619,2612996.5333,1268057.9789,262.7451
565,206+520,2612998.4338,1268055.6576,209.574,2612998.4338,1268055.6576,262.7451
566,206+523,2613000.3426,1268053.3432,209.53,2613000.3426,1268053.3432,262.7773
567,206+526,2613002.2598,1268051.0358,209.486,2613002.2598,1268051.0358,262.7773
568,206+529,2613004.1853,1268048.7352,209.443,2613004.1853,1268048.7352,262.7466
569,206+532,2613006.1191,1268046.4417,209.401,2613006.1191,1268046.4417,262.7515
570,206+535,2613008.0612,1268044.1552,209.36,2613008.0612,1268044.1552,262.7583
571,206+538,2613010.0116,1268041.8757,209.319,2613010.0116,1268041.8757,263.09
572,206+541,2613011.9702,1268039.6032,209.279,2613011.9702,1268039.6032,262.773
573,206+544,2613013.9369,1268037.3379,209.24,2613013.9369,1268037.3379,262.773
574,206+547,2613015.9119,1268035.0796,209.201,2613015.9119,1268035.0796,262.9814
575,206+550,2613017.895,1268032.8286,209.163,2613017.895,1268032.8286,262.771
576,206+553,2613019.8862,1268030.5847,209.126,2613019.8862,1268030.5847,262.771
577,206+556,2613021.8855,1268028.348,209.09,2613021.8855,1268028.348,262.8827
578,206+559,2613023.8929,1268026.1186,209.054,2613023.8929,1268026.1186,262.8827
579,206+562,2613025.9084,1268023.8964,209.019,2613025.9084,1268023.8964,262.6887
580,206+565,2613027.9318,1268021.6816,208.985,2613027.9318,1268021.6816,262.6887
581,206+568,2613029.9633,1268019.474,208.952,,,
582,206+571,2613032.0027,1268017.2738,208.919,2613032.0027,1268017.2738,262.6112
583,206+574,2613034.05,1268015.081,208.887,2613034.05,1268015.081,262.6112
584,206+577,2613036.1053,1268012.8957,208.856,2613036.1053,1268012.8957,262.6112
585,206+580,2613038.1684,1268010.7177,208.825,2613038.1684,1268010.7177,262.6112
586,206+583,2613040.2394,1268008.5473,208.795,2613040.2394,1268008.5473,262.8863
587,206+586,2613042.3183,1268006.3843,208.766,2613042.3183,1268006.3843,262.8863
588,206+589,2613044.4049,1268004.2289,208.737,2613044.4049,1268004.2289,262.9224
589,206+592,2613046.4993,1268002.081,208.71,2613046.4993,1268002.081,262.7726
590,206+595,2613048.6015,1267999.9407,208.683,2613048.6015,1267999.9407,262.935
591,206+598,2613050.7114,1267997.808,208.656,2613050.7114,1267997.808,262.8111
592,206+601,2613052.829,1267995.683,208.631,2613052.829,1267995.683,262.8111
593,206+604,2613054.9542,1267993.5656,208.606,2613054.9542,1267993.5656,262.8129
594,206+607,2613057.0871,1267991.4559,208.582,2613057.0871,1267991.4559,262.8693
595,206+610,2613059.2276,1267989.3539,208.558,2613059.2276,1267989.3539,262.8016
596,206+613,2613061.3757,1267987.2597,208.536,2613061.3757,1267987.2597,262.8447
597,206+616,2613063.5314,1267985.1733,208.514,2613063.5314,1267985.1733,262.8447
598,206+619,2613065.6946,1267983.0947,208.493,2613065.6946,1267983.0947,262.9063
599,206+622,2613067.8652,1267981.0239,208.472,2613067.8652,1267981.0239,262.9063
600,206+625,2613070.0434,1267978.961,208.452,2613070.0434,1267978.961,262.8047
